,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率
0,600036.SH,招商银行,长期,20221028,27.18,5.5997,4.23,5.3473,-23.5%,38.5%,15.51,6.81~14.13,7.31~13.33,,1.75,1.15,31.07,91.57
1,002032.SZ,苏泊尔,,20221028,40.85,4.7209,2.57,16.4198,-19.5%,44.5%,28.57,19.52~36.5,21.78~35.98,,1.25,1.05,45.55,42.99
2,000333.SZ,美的集团,长期,20221028,40.76,4.0953,3.63,9.6463,-18.5%,39.5%,25.21,11.74~24.48,12.13~23.65,,1.5,1.48,43.94,65.34
3,300529.SZ,健帆生物,,20221028,39.6,2.2415,1.72,26.4973,-18.0%,32.0%,30.4,30.79~84.91,34.64~78.0,,1.25,0.68,60.1,17.78
4,603866.SH,桃李面包,,20221028,11.33,3.7826,7.77,22.0548,-17.0%,43.5%,18.9,25.21~50.15,28.32~49.94,,1.5,0.88,78.95,16.76
5,603387.SH,基蛋生物,,20221028,13.1,1.8539,2.98,10.6971,-14.5%,29.0%,21.38,12.45~33.27,12.65~41.09,,1.5,0.39,30.7,18.17
6,002507.SZ,涪陵榨菜,长期,20221028,23.38,1.497,1.24,23.5276,-14.5%,45.0%,21.59,29.35~52.41,26.29~50.29,,1.5,0.29,39.39,16.1
7,002415.SZ,海康威视,,20221028,28.4,3.169,2.46,16.6625,-14.0%,42.5%,30.75,19.08~38.62,19.89~39.25,,1.25,0.7,51.53,39.23
8,002841.SZ,视源股份,,20221028,66.12,1.3035,1.15,22.235,-13.0%,44.5%,32.54,24.31~46.81,27.19~52.33,,1.5,0.76,34.38,47.02
9,300628.SZ,亿联网络,,20221028,66.44,1.205,1.55,27.4924,-12.5%,50.5%,28.96,35.92~55.48,28.24~51.94,,1.25,1.03,43.03,8.28
10,603899.SH,晨光股份,长期,20221028,40.65,1.4773,1.01,27.298,-10.5%,44.0%,26.23,30.68~63.84,30.41~58.27,,1.25,0.41,35.76,39.98
11,600519.SH,贵州茅台,长期,20221028,1360.0,1.5938,1.23,28.6679,-8.5%,53.0%,32.37,35.88~55.14,27.64~51.86,,1.25,16.71,51.72,24.38
12,600887.SH,伊利股份,长期,20221028,25.88,3.7099,3.09,18.7735,-8.5%,51.5%,24.44,20.62~36.98,20.84~35.42,,1.75,0.8,69.39,51.14
13,000895.SZ,双汇发展,长期,20221028,23.12,8.2093,6.19,14.6206,-8.0%,55.0%,30.9,16.71~27.33,15.31~25.53,,1.25,1.43,92.66,34.59
14,603589.SH,口子窖,,20221028,40.7,3.6663,3.17,13.731,-8.0%,44.5%,23.49,14.75~30.45,15.39~30.63,,1.5,1.29,51.89,28.32
15,603288.SH,海天味业,长期,20221028,61.7,1.1198,1.52,43.1219,-7.5%,49.0%,33.46,51.92~91.4,42.28~83.84,,1.25,0.94,55.97,30.65
16,603833.SH,欧派家居,,20221028,84.01,2.0831,1.38,20.127,-5.5%,45.0%,22.46,21.98~43.44,20.91~45.39,,1.5,1.16,30.31,35.64
17,002867.SZ,周大生,,20221028,11.05,7.1856,4.52,10.5357,-5.5%,43.0%,21.77,10.61~23.07,11.86~25.52,,1.5,0.5,38.02,21.25
18,000848.SZ,承德露露,,20221028,7.59,,4.61,13.8533,-3.0%,57.5%,22.17,13.96~23.74,14.88~24.08,,1.5,0.35,81.07,31.26
19,300630.SZ,普利制药,,20221028,24.62,0.7758,0.77,22.3247,-2.5%,26.5%,23.04,24.35~71.27,21.55~98.31,,1.75,0.19,20.24,30.0
20,300726.SZ,宏达电子,,20221028,42.64,1.4071,0.66,20.9322,-2.0%,30.5%,20.73,20.48~67.58,22.4~66.68,,1.75,0.28,29.87,12.76
21,002884.SZ,凌霄泵业,,20221028,15.39,6.4977,7.28,10.8172,0.5%,47.0%,20.71,11.53~22.25,10.03~23.09,,1.5,1.12,74.54,8.45
22,002916.SZ,深南电路,,20221028,73.48,1.2929,1.17,23.0377,2.0%,38.0%,21.79,20.92~60.18,24.52~59.92,,1.75,0.86,31.74,53.79
23,603707.SH,健友股份,,20221028,16.22,0.7114,1.11,23.4646,2.0%,34.0%,21.5,24.02~70.54,22.11~65.41,,1.75,0.18,22.01,35.86
24,603568.SH,伟明环保,,20221028,19.1,0.5236,1.36,20.4088,2.5%,63.5%,25.51,19.76~31.48,19.99~32.03,,1.5,0.26,27.33,43.46
25,000858.SZ,五粮液,长期,20221028,137.5,2.1985,1.57,20.497,4.5%,38.0%,23.54,22.08~55.56,17.57~50.77,,1.5,2.16,50.18,24.79
26,603369.SH,今世缘,,20221028,37.68,1.5562,1.09,20.4421,5.0%,46.0%,20.74,22.35~45.45,17.32~42.1,,1.5,0.41,35.75,30.0
27,600600.SH,青岛啤酒,长期,20221028,84.4,1.3033,0.78,30.2104,6.5%,48.5%,10.23,28.88~63.8,27.65~60.37,,1.75,0.66,44.87,46.37
28,603043.SH,广州酒家,,20221028,21.44,1.8657,1.73,20.8149,7.0%,51.0%,21.02,18.92~41.64,19.98~38.98,,1.5,0.37,38.18,26.29
29,600612.SH,老凤祥,,20221028,39.12,3.7065,3.07,11.8005,7.0%,56.0%,21.21,10.46~20.4,11.54~21.38,,1.75,1.2,45.31,51.38
30,603444.SH,吉比特,,20221028,260.0,6.1538,3.51,14.6583,7.0%,39.0%,29.83,14.83~39.21,12.74~34.98,,1.25,9.12,67.13,23.01
31,603360.SH,百傲化学,,20221028,15.95,,3.57,11.6358,8.0%,45.0%,23.28,11.63~21.49,10.0~32.08,,1.5,0.57,64.62,18.77
32,002508.SZ,老板电器,,20221028,21.09,2.3585,2.89,16.3684,9.5%,63.0%,24.01,16.61~24.57,13.63~26.91,,1.5,0.61,39.35,34.91
33,300638.SZ,广和通,,20221028,17.87,0.7435,1.45,30.6135,11.0%,36.5%,20.09,26.71~79.95,28.18~86.4,,2.0,0.26,26.93,46.39
34,600885.SH,宏发股份,,20221028,32.76,0.9354,1.07,29.371,12.0%,54.5%,16.79,31.16~54.96,22.6~51.78,,1.5,0.35,30.75,33.39
35,300015.SZ,爱尔眼科,长期,20221028,25.32,0.357,0.71,67.8805,13.5%,40.0%,20.49,68.65~175.79,52.84~158.5,,1.5,0.18,41.94,39.14
36,002236.SZ,大华股份,,20221028,11.89,2.2419,1.6,11.0794,18.5%,42.5%,21.5,11.6~22.26,7.84~30.3,,2.0,0.19,18.56,47.45
37,002304.SZ,洋河股份,,20221028,131.97,2.2724,2.24,21.2317,22.5%,52.5%,21.82,18.7~41.96,16.08~38.5,,1.5,2.95,59.95,32.33
38,600298.SH,安琪酵母,长期,20221028,36.38,1.317,1.15,26.6179,23.0%,60.5%,21.99,22.28~44.54,20.84~42.46,,1.75,0.42,34.31,46.8
39,601318.SH,中国平安,长期,20221028,36.73,6.4836,3.62,6.962,27.5%,48.0%,18.87,5.76~12.86,5.12~16.52,,2.0,1.33,19.94,89.53
40,300595.SZ,欧普康视,,20221028,31.3,0.4441,0.51,45.3931,34.5%,30.0%,26.56,47.72~157.8,26.17~139.81,,1.5,0.16,19.24,11.79
41,600436.SH,片仔癀,长期,20221028,228.23,0.5302,0.35,55.6911,35.0%,45.5%,24.1,47.42~127.8,36.21~114.59,,1.5,0.79,31.76,20.16
42,000049.SZ,德赛电池,,20221028,49.57,1.5131,1.19,16.3899,40.0%,62.0%,25.27,12.01~25.71,11.37~26.55,,1.75,0.59,23.65,70.97
43,603180.SH,金牌厨柜,,20221028,25.01,4.2418,3.72,11.2018,41.0%,35.0%,21.88,11.25~25.21,6.13~42.93,修正标准差,1.75,0.93,32.75,48.19
44,300357.SZ,我武生物,,20221028,49.29,0.4078,0.49,66.0688,43.0%,52.0%,24.02,58.41~131.99,38.1~121.2,,1.5,0.24,31.29,5.72
45,000651.SZ,格力电器,长期,20221028,30.19,9.7699,6.82,6.7806,43.5%,30.5%,23.67,4.4~22.86,5.08~20.7,,1.75,2.06,46.15,61.2
46,002833.SZ,弘亚数控,,20221028,14.52,2.558,3.44,12.955,44.5%,36.5%,24.75,8.58~34.52,9.27~35.51,,1.75,0.5,27.21,23.72
