,证券代码,证券简称,上市年份,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
0,600887.SH,伊利股份,1996,长期,20230406,28.92,3.3201,2.77,20.9773,8.0%,57.5%,24.44,19.04~37.34,19.67~35.01,,1.75,0.8,69.39,51.14,,,
1,002507.SZ,涪陵榨菜,2010,长期,20230406,25.02,1.3989,1.16,24.7094,8.5%,45.5%,21.59,23.49~55.81,21.94~52.22,,1.75,0.29,39.39,16.1,20230203.0,26.743,25.28
2,600036.SH,招商银行,2002,长期,20230406,33.8,4.503,3.4,6.1765,13.0%,42.5%,15.51,5.0~14.98,5.96~13.92,,2.0,1.15,31.07,91.57,,,
3,603568.SH,伟明环保,2015,,20230406,18.22,0.5488,1.43,19.4685,13.5%,59.0%,25.51,16.67~32.85,17.5~32.54,,2.0,0.26,27.33,43.46,,,
4,000895.SZ,双汇发展,1998,长期,20230406,26.25,7.2305,5.45,16.1803,15.5%,58.5%,30.9,14.31~28.39,13.62~26.38,,1.5,1.43,92.66,34.59,20230208.0,25.173,15.86
5,600885.SH,宏发股份,1996,,20230406,31.94,0.9594,1.1,26.699,18.0%,47.5%,16.79,26.76~57.6,19.58~54.2,,1.75,0.35,30.75,33.39,,,
6,000848.SZ,承德露露,1997,,20230406,8.67,,4.04,15.8245,19.0%,64.5%,22.17,12.88~24.54,13.6~24.12,,1.75,0.35,81.07,31.26,,,
7,002032.SZ,苏泊尔,2004,,20230406,52.97,5.9945,1.98,20.7164,20.0%,55.5%,28.57,15.77~36.65,18.94~37.52,,1.5,1.05,45.55,42.99,,,
8,300628.SZ,亿联网络,2017,,20230406,70.52,1.1353,1.46,29.1108,20.0%,49.0%,28.96,26.09~61.17,22.42~56.98,,1.75,1.03,43.03,8.28,,,
9,600519.SH,贵州茅台,2001,长期,20230406,1796.96,2.4255,0.93,35.9927,22.5%,64.5%,32.37,34.7~56.84,25.25~54.29,,1.5,16.71,51.72,24.38,,,
10,603288.SH,海天味业,2014,长期,20230406,76.68,0.901,1.23,53.5914,24.0%,58.5%,33.46,46.6~95.6,40.1~87.7,,1.5,0.94,55.97,30.65,,,
11,300482.SZ,万孚生物,2015,,20230406,31.15,0.959,1.12,11.5681,27.5%,18.0%,21.49,8.45~59.18,9.68~67.76,修正标准差,2.25,0.35,27.39,24.92,,,
12,300357.SZ,我武生物,2014,,20230406,46.8,0.4295,0.51,62.7312,29.5%,49.5%,24.02,54.63~131.87,43.08~120.54,,1.5,0.24,31.29,5.72,,,
13,000333.SZ,美的集团,2013,长期,20230406,54.02,3.0893,2.74,12.774,32.0%,51.0%,25.21,9.22~25.78,10.1~23.94,,1.75,1.48,43.94,65.34,,,
14,600298.SH,安琪酵母,2000,长期,20230406,40.6,1.1801,1.03,26.7026,32.5%,59.0%,21.99,21.07~46.13,19.11~43.47,,2.0,0.42,34.31,46.8,,,
15,000049.SZ,德赛电池,1995,,20230406,42.8,1.7577,1.38,14.1098,32.5%,54.5%,25.27,10.3~26.56,10.87~25.11,,2.0,0.59,23.65,70.97,,,
16,002884.SZ,凌霄泵业,2017,,20230406,15.9,6.2893,7.04,12.088,33.0%,51.5%,20.71,10.3~23.7,8.07~23.03,,2.0,1.12,74.54,8.45,,,
17,002508.SZ,老板电器,2010,,20230406,29.08,1.7105,2.1,22.5696,42.5%,91.0%,24.01,17.01~24.99,14.69~24.45,,1.5,0.61,39.35,34.91,,,
18,000538.SZ,云南白药,1993,长期,20230406,55.5,2.0585,4.32,33.2295,46.5%,84.5%,14.5,23.36~39.92,21.88~38.44,,1.75,2.4,73.32,29.85,,,
19,603866.SH,桃李面包,2015,,20230406,15.33,2.7956,5.74,31.929,52.0%,59.5%,18.9,19.17~52.99,23.1~53.62,,2.0,0.88,78.95,16.76,,,
20,603899.SH,晨光股份,2015,长期,20230406,49.34,1.2171,0.83,35.6619,55.0%,52.5%,26.23,21.78~70.28,24.25~63.81,,1.75,0.41,35.76,39.98,,,
21,002304.SZ,洋河股份,2009,,20230406,162.95,1.8404,1.81,26.2158,58.0%,63.0%,21.82,19.92~42.84,14.11~40.31,,1.75,2.95,59.95,32.33,,,
22,002841.SZ,视源股份,2017,,20230406,80.17,1.0671,0.95,27.1674,58.0%,49.5%,32.54,15.85~51.39,18.72~57.44,,2.0,0.76,34.38,47.02,20230209.0,64.33,21.91
23,600436.SH,片仔癀,2003,长期,20230406,291.39,0.4153,0.27,71.2019,58.5%,58.5%,24.1,54.56~126.0,38.05~114.91,,1.5,0.79,31.76,20.16,,,
24,300015.SZ,爱尔眼科,2009,长期,20230406,29.68,0.3046,0.61,79.5692,59.0%,44.5%,20.49,54.63~185.89,45.83~166.61,,1.75,0.18,41.94,39.14,,,
25,002867.SZ,周大生,2017,,20230406,15.03,3.2954,3.33,14.3304,61.5%,55.5%,21.77,8.3~25.18,9.47~25.77,,2.0,0.5,38.02,21.25,,,
26,600085.SH,同仁堂,1997,长期,20230406,56.33,0.5148,0.66,54.1831,63.5%,100.5%,11.77,36.09~54.15,30.53~53.59,,1.75,0.37,48.2,30.18,,,
27,603833.SH,欧派家居,2017,,20230406,127.25,1.3752,0.91,30.4863,65.5%,65.0%,22.46,19.33~46.93,17.45~45.79,,2.0,1.16,30.31,35.64,,,
28,603360.SH,百傲化学,2017,,20230406,16.37,,3.48,9.9421,67.5%,37.5%,23.28,9.03~20.87,4.4~34.68,,2.0,0.57,64.62,18.77,,,
29,600600.SH,青岛啤酒,1993,长期,20230406,122.05,0.9014,0.54,44.8723,70.5%,70.0%,10.23,28.27~65.57,24.46~61.98,,2.0,0.66,44.87,46.37,,,
30,600612.SH,老凤祥,1992,,20230406,55.94,2.5921,2.15,17.2102,73.0%,81.5%,21.21,9.45~20.39,10.45~21.55,,2.0,1.2,45.31,51.38,,,
31,000661.SZ,长春高新,1996,长期,20230406,164.62,0.483,0.51,16.0921,77.0%,21.0%,24.93,10.15~71.07,8.18~79.58,修正标准差,1.75,0.84,12.95,28.62,,,
32,000858.SZ,五粮液,1998,长期,20230406,190.54,1.5865,1.13,28.4036,79.0%,50.5%,23.54,18.27~58.61,13.99~53.31,,1.75,2.16,50.18,24.79,,,
33,601318.SH,中国平安,2007,长期,20230406,45.08,5.2827,2.95,9.8369,79.5%,71.0%,18.87,5.19~13.23,5.77~14.35,,2.25,1.33,19.94,89.53,,,
34,603589.SH,口子窖,2015,,20230406,67.91,2.1973,1.9,22.9108,79.5%,70.0%,23.49,12.92~33.0,12.54~31.96,,2.0,1.29,51.89,28.32,,,
35,002415.SZ,海康威视,2010,,20230406,43.86,2.0672,1.6,32.0181,87.0%,80.5%,30.75,16.53~40.65,17.61~38.37,,1.5,0.7,51.53,39.23,,,
36,603369.SH,今世缘,2014,,20230406,65.32,0.8977,0.63,33.9764,87.5%,73.5%,20.74,20.5~47.58,16.11~44.33,,1.75,0.41,35.75,30.0,,,
37,603605.SH,珀莱雅,2017,,20230406,173.5,0.3514,0.33,69.5632,90.0%,74.0%,20.52,56.59~90.95,26.88~96.5,,2.0,0.58,30.36,35.45,,,
38,603848.SH,好太太,2017,,20230406,14.66,1.7053,1.57,23.1332,97.5%,77.0%,20.09,13.98~25.58,10.03~36.07,,2.0,0.23,34.0,21.27,,,
39,603707.SH,健友股份,2017,,20230406,16.45,0.7014,1.09,23.716,99.0%,32.0%,21.5,11.41~72.61,12.37~72.55,,2.25,0.18,22.01,35.86,,,
40,002916.SZ,深南电路,2017,,20230406,96.8,0.9814,0.89,30.2773,109.5%,48.0%,21.79,12.95~59.69,16.23~64.43,,2.25,0.86,31.74,53.79,,,
