,证券代码,证券简称,上市年份,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
0,600887.SH,伊利股份,1996,长期,20230417,28.18,3.4073,2.84,20.4405,6.0%,56.0%,24.44,18.91~37.37,19.58~35.02,,1.75,0.8,69.39,51.14,,,
1,300628.SZ,亿联网络,2017,,20230417,61.9,1.2934,1.66,25.5524,7.0%,42.5%,28.96,25.75~61.25,22.31~56.99,,1.75,1.03,43.03,8.28,,,
2,002507.SZ,涪陵榨菜,2010,长期,20230417,24.84,1.409,1.17,24.5316,9.0%,45.0%,21.59,23.12~55.82,21.77~52.19,,1.75,0.29,39.39,16.1,20230203.0,26.743,25.28
3,000848.SZ,承德露露,1997,,20230417,8.26,,4.24,15.0761,13.5%,61.5%,22.17,12.89~24.53,13.55~24.09,,1.75,0.35,81.07,31.26,,,
4,000895.SZ,双汇发展,1998,长期,20230417,26.02,7.2944,5.5,16.0385,15.0%,58.0%,30.9,14.2~28.34,13.58~26.38,,1.5,1.43,92.66,34.59,20230208.0,25.173,15.86
5,603568.SH,伟明环保,2015,,20230417,18.51,0.5402,1.4,19.7783,16.0%,60.0%,25.51,16.62~32.66,17.43~32.49,,2.0,0.26,27.33,43.46,,,
6,600036.SH,招商银行,2002,长期,20230417,35.2,4.3239,3.27,6.4323,19.5%,44.0%,15.51,4.93~15.01,5.9~13.94,,2.0,1.15,31.07,91.57,,,
7,603288.SH,海天味业,2014,长期,20230417,73.7,0.9375,1.28,51.5087,19.5%,55.5%,33.46,46.36~95.62,40.19~87.69,,1.5,0.94,55.97,30.65,,,
8,600519.SH,贵州茅台,2001,长期,20230417,1753.0,2.4863,0.95,35.1122,19.5%,62.5%,32.37,34.66~56.86,25.29~54.29,,1.5,16.71,51.72,24.38,,,
9,600885.SH,宏发股份,1996,,20230417,32.71,0.9368,1.07,27.3426,20.5%,48.5%,16.79,26.55~57.69,19.54~54.2,,1.75,0.35,30.75,33.39,,,
10,002032.SZ,苏泊尔,2004,,20230417,53.25,5.9768,1.97,20.7777,21.0%,55.5%,28.57,15.66~36.58,18.86~37.52,,1.5,1.05,45.55,42.99,,,
11,300482.SZ,万孚生物,2015,,20230417,29.9,0.9991,1.17,11.1039,24.0%,17.5%,21.49,8.31~58.15,9.61~67.29,修正标准差,2.25,0.35,27.39,24.92,,,
12,000049.SZ,德赛电池,1995,,20230417,41.94,1.7937,1.41,13.8262,30.5%,53.5%,25.27,10.25~26.57,10.83~25.05,,2.0,0.59,23.65,70.97,,,
13,600298.SH,安琪酵母,2000,长期,20230417,40.0,1.1978,1.05,26.308,31.5%,58.5%,21.99,20.93~46.15,19.06~43.46,,2.0,0.42,34.31,46.8,,,
14,002508.SZ,老板电器,2010,,20230417,27.63,1.8002,2.21,21.4442,35.0%,86.0%,24.01,17.08~25.0,14.7~24.46,,1.5,0.61,39.35,34.91,,,
15,300357.SZ,我武生物,2014,,20230417,48.6,0.4136,0.49,65.144,35.0%,51.5%,24.02,54.25~131.89,43.22~120.52,,1.5,0.24,31.29,5.72,,,
16,000333.SZ,美的集团,2013,长期,20230417,55.42,3.0113,2.67,13.1051,36.0%,52.0%,25.21,9.19~25.79,10.05~23.91,,1.75,1.48,43.94,65.34,,,
17,002841.SZ,视源股份,2017,,20230417,71.5,1.1965,1.06,24.2294,42.0%,44.5%,32.54,15.71~51.39,18.57~57.31,,2.0,0.76,34.38,47.02,20230209.0,64.33,21.91
18,600436.SH,片仔癀,2003,长期,20230417,273.8,0.4419,0.29,64.7103,43.0%,53.5%,24.1,54.84~125.92,38.08~114.92,,1.5,0.79,31.76,20.16,,,
19,603899.SH,晨光股份,2015,长期,20230417,45.98,1.3061,0.89,33.2334,45.0%,49.5%,26.23,21.59~70.25,24.16~63.8,,1.75,0.41,35.76,39.98,,,
20,603866.SH,桃李面包,2015,,20230417,14.36,2.9845,6.13,30.8335,47.0%,57.5%,18.9,19.18~52.62,23.01~53.53,,2.0,0.88,78.95,16.76,,,
21,000538.SZ,云南白药,1993,长期,20230417,55.79,2.0478,4.3,33.4031,47.0%,84.5%,14.5,23.49~39.93,21.89~38.45,,1.75,2.4,73.32,29.85,,,
22,002304.SZ,洋河股份,2009,,20230417,152.65,1.9646,1.93,24.5587,47.5%,58.5%,21.82,20.14~42.74,14.11~40.31,,1.75,2.95,59.95,32.33,,,
23,002884.SZ,凌霄泵业,2017,,20230417,16.1,6.2112,6.96,13.6482,50.0%,58.0%,20.71,10.3~23.7,8.09~22.91,,2.0,1.12,74.54,8.45,,,
24,603589.SH,口子窖,2015,,20230417,59.44,2.5104,2.17,20.0533,56.5%,61.0%,23.49,13.1~32.94,12.53~31.89,,2.0,1.29,51.89,28.32,,,
25,600085.SH,同仁堂,1997,长期,20230417,55.0,0.5273,0.67,52.9038,59.0%,97.5%,11.77,36.33~54.25,30.5~53.66,,1.75,0.37,48.2,30.18,,,
26,603833.SH,欧派家居,2017,,20230417,123.81,1.4135,0.94,29.6622,60.0%,64.0%,22.46,19.49~46.89,17.56~45.48,,2.0,1.16,30.31,35.64,,,
27,603605.SH,珀莱雅,2017,,20230417,172.3,0.3539,0.34,59.7633,61.5%,63.0%,20.52,56.72~90.9,27.33~96.43,,2.0,0.58,30.36,35.45,,,
28,600600.SH,青岛啤酒,1993,长期,20230417,116.45,0.9448,0.57,42.8135,62.5%,67.0%,10.23,28.52~65.5,24.46~61.96,,2.0,0.66,44.87,46.37,,,
29,603360.SH,百傲化学,2017,,20230417,15.52,,3.67,9.4259,63.0%,36.0%,23.28,8.89~20.85,4.27~34.59,,2.0,0.57,64.62,18.77,,,
30,300015.SZ,爱尔眼科,2009,长期,20230417,30.53,0.2961,0.59,81.848,64.0%,46.5%,20.49,54.3~185.94,45.74~166.62,,1.75,0.18,41.94,39.14,,,
31,002867.SZ,周大生,2017,,20230417,15.48,3.1996,3.23,14.7595,65.0%,57.5%,21.77,8.35~25.17,9.53~25.57,,2.0,0.5,38.02,21.25,,,
32,000858.SZ,五粮液,1998,长期,20230417,178.18,1.6966,1.21,26.5611,67.5%,47.0%,23.54,18.2~58.62,13.95~53.31,,1.75,2.16,50.18,24.79,,,
33,603369.SH,今世缘,2014,,20230417,60.51,0.9691,0.68,31.4745,73.0%,68.0%,20.74,20.63~47.57,16.22~44.34,,1.75,0.41,35.75,30.0,,,
34,600612.SH,老凤祥,1992,,20230417,59.42,2.4403,2.02,18.2808,83.5%,86.5%,21.21,9.44~20.46,10.46~21.54,,2.0,1.2,45.31,51.38,,,
35,000661.SZ,长春高新,1996,长期,20230417,168.8,0.471,0.5,16.5008,87.5%,21.5%,24.93,10.04~70.26,7.82~79.58,修正标准差,1.75,0.84,12.95,28.62,,,
36,601318.SH,中国平安,2007,长期,20230417,47.48,5.0157,2.8,10.3606,89.0%,75.0%,18.87,5.19~13.25,5.78~14.3,,2.25,1.33,19.94,89.53,,,
37,002916.SZ,深南电路,2017,,20230417,88.47,1.0738,0.97,27.6718,91.5%,44.5%,21.79,13.11~58.95,16.08~64.32,,2.25,0.86,31.74,53.79,,,
38,603848.SH,好太太,2017,,20230417,14.35,1.7422,1.6,22.644,92.0%,75.5%,20.09,13.97~25.65,10.2~35.7,,2.0,0.23,34.0,21.27,,,
39,002415.SZ,海康威视,2010,,20230417,43.95,2.0629,1.59,33.2846,93.5%,83.5%,30.75,16.65~40.73,17.64~38.28,,1.5,0.7,51.53,39.23,,,
