,证券代码,证券简称,上市年份,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
0,002507.SZ,涪陵榨菜,2010,长期,20230314,24.52,1.4274,1.18,24.2156,4.0%,44.5%,21.59,24.28~55.64,22.28~52.26,,1.75,0.29,39.39,16.1,20230203.0,26.743,25.28
1,600887.SH,伊利股份,1996,长期,20230314,29.54,3.2504,2.71,21.427,9.0%,59.0%,24.44,19.27~37.27,19.86~35.0,,1.75,0.8,69.39,51.14,,,
2,600036.SH,招商银行,2002,长期,20230314,34.58,4.4014,3.33,6.319,12.5%,43.5%,15.51,5.16~14.92,6.11~13.89,,2.0,1.15,31.07,91.57,,,
3,000895.SZ,双汇发展,1998,长期,20230314,25.51,7.4402,5.61,16.132,13.5%,58.5%,30.9,14.56~28.46,13.7~26.4,,1.5,1.43,92.66,34.59,20230208.0,25.173,15.86
4,300628.SZ,亿联网络,2017,,20230314,67.23,1.1909,1.53,27.7527,13.5%,46.5%,28.96,26.57~61.11,22.44~56.98,,1.75,1.03,43.03,8.28,,,
5,603568.SH,伟明环保,2015,,20230314,18.55,0.5391,1.4,19.8211,14.5%,59.5%,25.51,16.89~33.07,17.66~32.62,,2.0,0.26,27.33,43.46,,,
6,000848.SZ,承德露露,1997,,20230314,8.68,,4.03,15.8427,19.0%,64.5%,22.17,12.82~24.56,13.68~24.2,,1.75,0.35,81.07,31.26,,,
7,603288.SH,海天味业,2014,长期,20230314,75.86,0.9108,1.24,53.0183,22.5%,57.5%,33.46,46.86~95.58,39.89~87.75,,1.5,0.94,55.97,30.65,,,
8,000333.SZ,美的集团,2013,长期,20230314,51.15,3.2627,2.89,12.0953,23.5%,48.0%,25.21,9.34~25.76,10.23~24.03,,1.75,1.48,43.94,65.34,,,
9,002032.SZ,苏泊尔,2004,,20230314,55.29,5.743,1.9,21.6237,24.0%,57.5%,28.57,15.97~36.77,19.07~37.53,,1.5,1.05,45.55,42.99,,,
10,300482.SZ,万孚生物,2015,,20230314,32.27,0.9257,1.08,11.5026,24.0%,17.0%,21.49,8.75~61.27,9.81~68.65,修正标准差,2.25,0.35,27.39,24.92,,,
11,002841.SZ,视源股份,2017,,20230314,64.72,1.3218,1.17,21.9318,24.5%,40.0%,32.54,16.15~51.37,19.09~57.63,,2.0,0.76,34.38,47.02,20230209.0,64.33,21.91
12,600885.SH,宏发股份,1996,,20230314,33.43,0.9166,1.05,28.8059,26.0%,51.5%,16.79,27.01~57.49,19.7~54.2,,1.75,0.35,30.75,33.39,,,
13,600519.SH,贵州茅台,2001,长期,20230314,1766.0,2.468,0.95,37.2261,27.5%,66.5%,32.37,34.43~56.95,25.19~54.29,,1.5,16.71,51.72,24.38,,,
14,000049.SZ,德赛电池,1995,,20230314,41.8,1.7997,1.41,13.7801,28.5%,52.5%,25.27,10.41~26.53,10.97~25.23,,2.0,0.59,23.65,70.97,,,
15,002884.SZ,凌霄泵业,2017,,20230314,15.72,6.3613,7.12,11.9512,30.5%,50.5%,20.71,10.4~23.7,8.12~23.22,,2.0,1.12,74.54,8.45,,,
16,002508.SZ,老板电器,2010,,20230314,27.92,1.7815,2.18,21.6693,38.0%,87.0%,24.01,16.74~25.0,14.68~24.5,,1.5,0.61,39.35,34.91,,,
17,600298.SH,安琪酵母,2000,长期,20230314,39.39,1.2164,1.07,28.8202,42.5%,64.0%,21.99,21.2~46.12,19.15~43.49,,2.0,0.42,34.31,46.8,,,
18,300357.SZ,我武生物,2014,,20230314,52.43,0.3834,0.46,70.2777,45.5%,55.5%,24.02,55.02~131.82,42.68~120.62,,1.5,0.24,31.29,5.72,,,
19,300529.SZ,健帆生物,2016,,20230314,30.67,2.8943,2.22,20.521,54.0%,22.0%,30.4,9.89~95.59,20.16~88.46,,1.75,0.68,60.1,17.78,20230202.0,34.897,23.21
20,603899.SH,晨光股份,2015,长期,20230314,52.1,1.1526,0.79,36.149,55.0%,53.5%,26.23,22.11~70.29,24.46~63.86,,1.75,0.41,35.76,39.98,,,
21,600600.SH,青岛啤酒,1993,长期,20230314,113.44,0.9698,0.58,40.6015,56.0%,63.0%,10.23,27.52~65.86,24.51~62.07,,2.0,0.66,44.87,46.37,,,
22,603866.SH,桃李面包,2015,,20230314,16.27,2.6341,5.41,33.4729,58.0%,62.0%,18.9,19.27~53.43,23.26~53.74,,2.0,0.88,78.95,16.76,,,
23,600085.SH,同仁堂,1997,长期,20230314,49.5,0.5859,0.75,51.8131,58.0%,96.0%,11.77,35.09~54.19,30.59~53.41,,1.75,0.37,48.2,30.18,,,
24,600612.SH,老凤祥,1992,,20230314,51.0,2.8431,2.35,15.6904,58.0%,74.5%,21.21,9.42~20.32,10.44~21.62,,2.0,1.2,45.31,51.38,,,
25,601318.SH,中国平安,2007,长期,20230314,45.46,5.2385,2.93,8.6167,58.5%,62.0%,18.87,5.16~13.2,5.69~14.55,,2.25,1.33,19.94,89.53,,,
26,000538.SZ,云南白药,1993,长期,20230314,53.62,2.1306,4.48,36.2484,61.0%,92.5%,14.5,23.01~39.79,21.9~38.34,,1.75,2.4,73.32,29.85,,,
27,002304.SZ,洋河股份,2009,,20230314,165.91,1.8076,1.78,26.692,63.5%,63.5%,21.82,19.22~43.14,14.08~40.3,,1.75,2.95,59.95,32.33,,,
28,300015.SZ,爱尔眼科,2009,长期,20230314,30.89,0.2926,0.58,82.8131,64.5%,46.5%,20.49,54.86~185.82,46.01~166.65,,1.75,0.18,41.94,39.14,,,
29,600436.SH,片仔癀,2003,长期,20230314,303.0,0.3993,0.26,74.0388,66.5%,61.0%,24.1,53.6~126.26,37.94~114.9,,1.5,0.79,31.76,20.16,,,
30,002415.SZ,海康威视,2010,,20230314,38.9,2.3307,1.8,28.3973,68.0%,71.5%,30.75,16.26~40.52,17.51~38.73,,1.5,0.7,51.53,39.23,,,
31,002916.SZ,深南电路,2017,,20230314,78.28,1.2136,1.1,24.5425,69.5%,39.0%,21.79,12.72~61.2,16.59~64.57,,2.25,0.86,31.74,53.79,,,
32,002867.SZ,周大生,2017,,20230314,15.65,3.1649,3.19,14.9216,70.0%,57.5%,21.77,8.24~25.18,9.35~26.21,,2.0,0.5,38.02,21.25,,,
33,603833.SH,欧派家居,2017,,20230314,129.15,1.355,0.9,30.9415,71.5%,65.5%,22.46,18.88~47.06,17.16~46.54,,2.0,1.16,30.31,35.64,,,
34,603360.SH,百傲化学,2017,,20230314,17.85,,3.19,10.841,75.0%,41.0%,23.28,9.26~20.88,4.64~34.88,,2.0,0.57,64.62,18.77,,,
35,603369.SH,今世缘,2014,,20230314,60.61,0.9675,0.68,31.5265,77.0%,68.5%,20.74,20.12~47.62,15.91~44.27,,1.75,0.41,35.75,30.0,,,
36,000858.SZ,五粮液,1998,长期,20230314,195.28,1.548,1.11,29.1102,83.5%,51.5%,23.54,18.16~58.64,14.02~53.32,,1.75,2.16,50.18,24.79,,,
37,601155.SH,新城控股,2015,,20230314,17.18,,7.45,3.8509,89.0%,41.5%,33.68,2.71~7.73,1.63~11.31,,2.25,1.28,28.97,85.18,,,
38,603707.SH,健友股份,2017,,20230314,16.56,0.6968,1.09,23.8746,89.5%,32.0%,21.5,12.06~73.82,13.05~72.41,,2.25,0.18,22.01,35.86,,,
39,603387.SH,基蛋生物,2017,,20230314,13.45,1.8056,2.9,10.9829,91.0%,27.0%,21.38,5.42~36.98,6.08~42.94,,2.0,0.39,30.7,18.17,20230217.0,13.253,10.88
40,603589.SH,口子窖,2015,,20230314,72.16,2.0679,1.79,24.3447,95.0%,74.0%,23.49,12.39~33.13,12.52~32.08,,2.0,1.29,51.89,28.32,,,
41,000661.SZ,长春高新,1996,长期,20230314,190.0,0.4185,0.44,18.8704,95.0%,24.0%,24.93,10.42~72.92,8.99~79.55,修正标准差,1.75,0.84,12.95,28.62,,,
42,603848.SH,好太太,2017,,20230314,14.92,1.6756,1.54,23.5435,102.5%,78.0%,20.09,13.99~25.41,9.91~36.47,,2.0,0.23,34.0,21.27,,,
43,002236.SZ,大华股份,2008,,20230314,17.7,1.506,1.07,20.0889,107.0%,83.5%,21.5,10.74~21.74,8.83~26.47,,2.25,0.19,18.56,47.45,,,
44,603605.SH,珀莱雅,2017,,20230314,182.37,0.3343,0.32,73.1194,107.0%,77.5%,20.52,56.09~91.05,25.7~96.62,,2.0,0.58,30.36,35.45,,,
45,603868.SH,飞科电器,2016,,20230314,76.89,1.3006,1.56,38.0647,108.5%,87.0%,28.59,21.96~44.72,15.54~42.4,,1.75,1.2,71.06,27.71,,,
46,603043.SH,广州酒家,2017,,20230314,29.1,1.3708,1.27,32.5895,113.5%,74.0%,21.02,14.18~45.38,16.44~42.2,,2.0,0.37,38.18,26.29,,,
47,600276.SH,恒瑞医药,2000,长期,20230314,41.48,0.3857,0.46,75.678,115.0%,74.5%,21.4,31.98~103.06,38.9~99.06,,2.0,0.19,17.99,10.67,20210810.0,57.559,56.74
48,603338.SH,浙江鼎力,2015,长期,20230314,56.7,0.5996,0.6,27.8459,121.0%,40.0%,19.68,10.58~72.8,15.54~66.16,,2.25,0.34,19.81,31.38,20230130.0,51.596,
49,300638.SZ,广和通,2017,,20230314,20.9,0.6275,1.24,36.2718,125.5%,40.5%,20.09,15.08~85.6,17.11~92.15,,2.5,0.26,26.93,46.39,,,
50,300726.SZ,宏达电子,2017,,20230314,43.81,1.3696,0.64,21.5065,127.0%,28.5%,20.73,7.85~76.25,11.83~72.97,,2.25,0.28,29.87,12.76,,,
51,002271.SZ,东方雨虹,2008,,20230314,33.47,0.8927,0.81,26.4934,146.0%,57.5%,22.73,16.11~46.45,8.07~44.97,,2.25,0.27,20.63,51.15,,,
52,002833.SZ,弘亚数控,2016,,20230314,16.81,2.2096,2.97,14.9982,147.0%,42.0%,24.75,5.23~36.53,7.2~34.16,,2.0,0.5,27.21,23.72,,,
53,603444.SH,吉比特,2017,,20230314,362.78,8.2695,2.51,20.4529,151.0%,49.5%,29.83,8.48~43.36,7.82~39.1,,1.75,9.12,67.13,23.01,,,
54,600809.SH,山西汾酒,1994,长期,20230314,272.1,0.6615,0.31,44.0113,154.5%,42.0%,30.23,27.82~109.28,12.53~98.61,,1.75,0.85,37.42,47.02,,,
55,300450.SZ,先导智能,2015,,20230314,40.95,1.2191,0.71,28.5531,167.0%,23.5%,21.81,8.3~138.54,14.99~104.91,修正标准差,2.25,0.29,31.15,57.7,,,
56,603180.SH,金牌厨柜,2017,,20230314,38.25,2.7735,2.43,17.1319,167.5%,54.5%,21.88,8.25~27.17,5.22~36.54,修正标准差,2.25,0.93,32.75,48.19,,,
57,300630.SZ,普利制药,2017,,20230314,26.64,0.718,0.71,24.1225,201.5%,27.5%,23.04,11.39~74.71,6.15~103.53,,2.25,0.19,20.24,30.0,,,
58,603638.SH,艾迪精密,2017,,20230314,17.95,0.6696,1.0,61.5709,219.0%,68.5%,21.72,28.44~91.38,14.57~86.87,,2.25,0.18,23.53,29.89,,,
59,002901.SZ,大博医疗,2017,,20230314,39.05,1.2901,1.43,37.4067,222.5%,49.0%,30.19,9.44~78.14,15.01~72.35,,1.75,0.56,48.95,17.49,,,
60,600690.SH,海尔智家,1993,,20230314,23.58,1.9306,1.61,15.0527,229.0%,42.5%,19.31,5.77~37.53,3.78~33.14,,2.0,0.38,34.95,66.12,,,
61,000651.SZ,格力电器,1996,长期,20230314,36.94,10.6833,5.58,8.0871,299.5%,35.0%,23.67,1.51~24.13,3.06~21.58,,2.0,2.06,46.15,61.2,,,
62,300595.SZ,欧普康视,2017,,20230314,32.78,0.424,0.49,47.5392,317.5%,27.5%,26.56,19.67~179.35,8.0~158.52,,2.0,0.16,19.24,11.79,,,
63,300571.SZ,平治信息,2016,,20230314,35.38,0.3109,0.62,26.5096,592.0%,62.5%,32.07,13.91~34.25,2.22~54.98,,2.25,0.22,14.21,56.17,,,
64,600763.SH,通策医疗,1996,,20230314,138.53,,0.06,74.2923,733.0%,36.5%,20.27,18.58~214.44,5.86~187.56,,2.0,0.08,17.52,34.43,,,
65,600309.SH,万华化学,2001,长期,20230314,98.21,2.5456,1.75,18.9881,1630.5%,51.5%,35.67,2.04~38.92,0.75~34.07,,1.75,1.72,41.66,56.12,,,
