,证券代码,证券简称,上市年份,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
0,600887.SH,伊利股份,1996,长期,20230413,28.1,3.417,2.85,20.3825,5.0%,56.0%,24.44,18.94~37.36,19.6~35.02,,1.75,0.8,69.39,51.14,,,
1,002507.SZ,涪陵榨菜,2010,长期,20230413,24.69,1.4176,1.17,24.3834,8.0%,44.5%,21.59,23.22~55.82,21.82~52.2,,1.75,0.29,39.39,16.1,20230203.0,26.743,25.28
2,300628.SZ,亿联网络,2017,,20230413,64.01,1.2508,1.61,26.4234,10.0%,44.5%,28.96,25.86~61.22,22.35~56.99,,1.75,1.03,43.03,8.28,,,
3,000848.SZ,承德露露,1997,,20230413,8.22,,4.26,15.0031,13.0%,61.5%,22.17,12.89~24.53,13.57~24.09,,1.75,0.35,81.07,31.26,,,
4,000895.SZ,双汇发展,1998,长期,20230413,25.78,7.3623,5.55,15.8906,13.5%,58.0%,30.9,14.23~28.35,13.59~26.37,,1.5,1.43,92.66,34.59,20230208.0,25.173,15.86
5,600036.SH,招商银行,2002,长期,20230413,34.01,4.4752,3.38,6.2149,15.0%,42.5%,15.51,4.95~14.99,5.91~13.93,,2.0,1.15,31.07,91.57,,,
6,603568.SH,伟明环保,2015,,20230413,18.39,0.5438,1.41,19.6501,15.0%,60.0%,25.51,16.64~32.72,17.45~32.51,,2.0,0.26,27.33,43.46,,,
7,600519.SH,贵州茅台,2001,长期,20230413,1723.0,2.5296,0.97,34.5113,18.0%,61.5%,32.37,34.68~56.86,25.29~54.29,,1.5,16.71,51.72,24.38,,,
8,002032.SZ,苏泊尔,2004,,20230413,52.15,6.1029,2.01,20.3485,18.0%,54.5%,28.57,15.69~36.61,18.88~37.52,,1.5,1.05,45.55,42.99,,,
9,603288.SH,海天味业,2014,长期,20230413,73.69,0.9376,1.28,51.5017,19.0%,55.5%,33.46,46.43~95.61,40.17~87.69,,1.5,0.94,55.97,30.65,,,
10,600885.SH,宏发股份,1996,,20230413,32.56,0.9411,1.07,27.2173,20.5%,48.5%,16.79,26.6~57.66,19.55~54.21,,1.75,0.35,30.75,33.39,,,
11,300482.SZ,万孚生物,2015,,20230413,30.1,0.9924,1.16,11.1782,24.5%,17.5%,21.49,8.35~58.47,9.63~67.43,修正标准差,2.25,0.35,27.39,24.92,,,
12,000049.SZ,德赛电池,1995,,20230413,41.4,1.8171,1.43,13.6482,28.5%,52.5%,25.27,10.27~26.57,10.85~25.07,,2.0,0.59,23.65,70.97,,,
13,000333.SZ,美的集团,2013,长期,20230413,54.14,3.0825,2.73,12.8024,33.0%,51.0%,25.21,9.2~25.78,10.06~23.92,,1.75,1.48,43.94,65.34,,,
14,600298.SH,安琪酵母,2000,长期,20230413,40.64,1.179,1.03,26.7289,33.5%,59.0%,21.99,20.98~46.14,19.07~43.47,,2.0,0.42,34.31,46.8,,,
