,证券代码,证券简称,上市年份,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
0,002507.SZ,涪陵榨菜,2010,长期,20230309,24.92,1.4045,1.16,24.6106,5.0%,45.5%,21.59,24.44~55.6,22.34~52.26,,1.75,0.29,39.39,16.1,20230203.0,26.743,25.28
1,600887.SH,伊利股份,1996,长期,20230309,29.55,3.2493,2.71,21.4343,9.0%,59.0%,24.44,19.31~37.27,19.89~35.01,,1.75,0.8,69.39,51.14,,,
2,000895.SZ,双汇发展,1998,长期,20230309,25.61,7.4112,5.58,16.1953,14.0%,58.5%,30.9,14.6~28.46,13.72~26.4,,1.5,1.43,92.66,34.59,20230208.0,25.173,15.86
3,600036.SH,招商银行,2002,长期,20230309,35.58,4.2777,3.23,6.5018,15.5%,44.5%,15.51,5.19~14.91,6.13~13.89,,2.0,1.15,31.07,91.57,,,
4,603568.SH,伟明环保,2015,,20230309,18.84,0.5308,1.38,20.131,15.5%,60.5%,25.51,16.95~33.09,17.68~32.64,,2.0,0.26,27.33,43.46,,,
5,300628.SZ,亿联网络,2017,,20230309,69.17,1.1575,1.49,28.5535,16.5%,48.0%,28.96,26.72~61.08,22.48~56.98,,1.75,1.03,43.03,8.28,,,
6,603288.SH,海天味业,2014,长期,20230309,75.22,0.9185,1.25,52.571,21.5%,57.0%,33.46,46.87~95.57,39.86~87.76,,1.5,0.94,55.97,30.65,,,
7,000848.SZ,承德露露,1997,,20230309,8.96,,3.91,16.3538,23.0%,66.5%,22.17,12.82~24.56,13.69~24.21,,1.75,0.35,81.07,31.26,,,
8,300482.SZ,万孚生物,2015,,20230309,32.46,0.9203,1.08,11.5704,24.0%,17.0%,21.49,8.81~61.67,9.83~68.83,修正标准差,2.25,0.35,27.39,24.92,,,
9,002841.SZ,视源股份,2017,,20230309,64.76,1.321,1.17,21.9454,24.5%,40.0%,32.54,16.25~51.35,19.21~57.63,,2.0,0.76,34.38,47.02,20230209.0,64.33,21.91
