,证券代码,证券简称,上市年份,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
0,002508.SZ,老板电器,2010,,20230428,26.05,1.9094,2.34,15.515,-2.0%,62.0%,24.01,17.05~25.03,14.68~24.44,,1.5,0.61,39.35,34.91,,,
1,600887.SH,伊利股份,1996,长期,20230428,29.56,3.2482,2.71,19.8542,3.5%,54.5%,24.44,18.7~37.4,19.47~35.03,,1.75,0.8,69.39,51.14,,,
2,002507.SZ,涪陵榨菜,2010,长期,20230428,25.79,1.3571,1.12,24.1999,9.0%,44.5%,21.59,22.62~55.8,21.56~52.2,,1.75,0.29,39.39,16.1,20230203.0,26.743,25.28
3,603568.SH,伟明环保,2015,,20230428,18.28,0.547,1.42,18.7336,10.5%,57.0%,25.51,16.52~32.44,17.34~32.42,,2.0,0.26,27.33,43.46,,,
4,000895.SZ,双汇发展,1998,长期,20230428,24.95,11.6152,5.73,15.3035,10.5%,56.0%,30.9,14.06~28.24,13.54~26.36,,1.5,1.43,92.66,34.59,20230208.0,25.173,15.86
5,600885.SH,宏发股份,1996,,20230428,31.25,0.9806,1.12,25.1994,13.0%,44.5%,16.79,26.23~57.81,19.46~54.2,,1.75,0.35,30.75,33.39,,,
6,600036.SH,招商银行,2002,长期,20230428,33.6,4.5298,3.42,6.0171,13.5%,41.5%,15.51,4.83~15.03,5.83~13.95,,2.0,1.15,31.07,91.57,,,
7,600519.SH,贵州茅台,2001,长期,20230428,1760.52,2.4757,0.95,33.3738,14.0%,59.5%,32.37,34.53~56.91,25.33~54.27,,1.5,16.71,51.72,24.38,,,
8,300628.SZ,亿联网络,2017,,20230428,65.93,1.2143,1.56,28.1219,18.5%,47.0%,28.96,25.32~61.38,22.17~57.01,,1.75,1.03,43.03,8.28,,,
9,000848.SZ,承德露露,1997,,20230428,9.03,,3.88,16.0488,21.0%,65.5%,22.17,12.91~24.53,13.51~24.05,,1.75,0.35,81.07,31.26,,,
10,002032.SZ,苏泊尔,2004,,20230428,51.5,6.1799,2.04,21.1191,23.5%,56.5%,28.57,15.53~36.49,18.76~37.5,,1.5,1.05,45.55,42.99,,,
11,603288.SH,海天味业,2014,长期,20230428,70.6,0.9786,1.33,53.7698,24.5%,58.5%,33.46,46.04~95.66,40.25~87.65,,1.5,0.94,55.97,30.65,,,
12,000538.SZ,云南白药,1993,长期,20230428,58.19,1.9633,4.12,29.006,27.0%,73.5%,14.5,23.63~39.93,21.9~38.46,,1.75,2.4,73.32,29.85,,,
13,600298.SH,安琪酵母,2000,长期,20230428,40.0,1.198,1.05,26.3039,32.0%,58.0%,21.99,20.74~46.16,18.99~43.45,,2.0,0.42,34.31,46.8,,,
14,002304.SZ,洋河股份,2009,,20230428,149.7,2.0033,1.97,22.2073,33.0%,53.5%,21.82,20.36~42.64,14.09~40.29,,1.75,2.95,59.95,32.33,,,
15,000049.SZ,德赛电池,1995,,20230428,36.94,2.0365,1.6,14.0791,34.0%,54.0%,25.27,10.19~26.59,10.76~25.02,,2.0,0.59,23.65,70.97,,,
