,证券代码,证券简称,上市年份,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
0,600887.SH,伊利股份,1996,长期,20230424,27.36,3.5094,2.92,19.8457,3.0%,54.5%,24.44,18.8~37.4,19.51~35.03,,1.75,0.8,69.39,51.14,,,
1,002507.SZ,涪陵榨菜,2010,长期,20230424,23.86,1.4669,1.22,23.5638,5.5%,43.5%,21.59,22.85~55.81,21.65~52.21,,1.75,0.29,39.39,16.1,20230203.0,26.743,25.28
2,603568.SH,伟明环保,2015,,20230424,17.81,0.5615,1.46,18.2519,7.5%,56.0%,25.51,16.59~32.51,17.38~32.44,,2.0,0.26,27.33,43.46,,,
3,603288.SH,海天味业,2014,长期,20230424,70.2,0.9842,1.34,49.0625,13.5%,53.0%,33.46,46.15~95.65,40.24~87.68,,1.5,0.94,55.97,30.65,,,
4,600036.SH,招商银行,2002,长期,20230424,33.6,4.5298,3.42,6.14,14.5%,42.0%,15.51,4.88~15.02,5.86~13.94,,2.0,1.15,31.07,91.57,,,
5,600885.SH,宏发股份,1996,,20230424,30.7,0.9981,1.14,25.6625,14.5%,45.5%,16.79,26.39~57.75,19.51~54.21,,1.75,0.35,30.75,33.39,,,
6,000895.SZ,双汇发展,1998,长期,20230424,25.83,7.348,5.54,15.9214,14.5%,58.0%,30.9,14.13~28.29,13.55~26.37,,1.5,1.43,92.66,34.59,20230208.0,25.173,15.86
7,600519.SH,贵州茅台,2001,长期,20230424,1705.0,2.5563,0.98,34.1508,16.5%,61.0%,32.37,34.6~56.88,25.33~54.29,,1.5,16.71,51.72,24.38,,,
8,002032.SZ,苏泊尔,2004,,20230424,51.85,6.1382,2.03,20.2315,18.0%,54.0%,28.57,15.59~36.55,18.79~37.51,,1.5,1.05,45.55,42.99,,,
9,300628.SZ,亿联网络,2017,,20230424,66.35,1.2066,1.55,28.3011,18.5%,47.5%,28.96,25.5~61.34,22.22~57.02,,1.75,1.03,43.03,8.28,,,
10,000848.SZ,承德露露,1997,,20230424,8.83,,3.96,15.7915,19.0%,64.5%,22.17,12.9~24.54,13.53~24.07,,1.75,0.35,81.07,31.26,,,
11,300482.SZ,万孚生物,2015,,20230424,29.87,1.0001,1.17,11.0927,25.5%,17.5%,21.49,8.19~57.35,9.56~66.94,修正标准差,2.25,0.35,27.39,24.92,,,
