,证券代码,证券简称,上市年份,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
0,600887.SH,伊利股份,1996,长期,20230418,28.49,3.3702,2.81,20.6654,7.0%,57.0%,24.44,18.89~37.37,19.56~35.02,,1.75,0.8,69.39,51.14,,,
1,300628.SZ,亿联网络,2017,,20230418,62.21,1.2869,1.66,25.6804,7.5%,43.0%,28.96,25.69~61.27,22.28~57.0,,1.75,1.03,43.03,8.28,,,
2,002507.SZ,涪陵榨菜,2010,长期,20230418,25.11,1.3939,1.15,24.7982,10.5%,45.5%,21.59,23.06~55.82,21.75~52.19,,1.75,0.29,39.39,16.1,20230203.0,26.743,25.28
3,000848.SZ,承德露露,1997,,20230418,8.33,,4.2,15.2039,14.5%,62.0%,22.17,12.9~24.54,13.55~24.09,,1.75,0.35,81.07,31.26,,,
4,603568.SH,伟明环保,2015,,20230418,18.6,0.5376,1.4,19.8745,16.5%,60.5%,25.51,16.62~32.64,17.42~32.48,,2.0,0.26,27.33,43.46,,,
5,000895.SZ,双汇发展,1998,长期,20230418,26.65,7.122,5.37,16.4268,18.0%,59.5%,30.9,14.19~28.33,13.57~26.37,,1.5,1.43,92.66,34.59,20230208.0,25.173,15.86
6,600519.SH,贵州茅台,2001,长期,20230418,1758.0,2.4792,0.95,35.2124,20.0%,62.5%,32.37,34.65~56.87,25.29~54.29,,1.5,16.71,51.72,24.38,,,
7,603288.SH,海天味业,2014,长期,20230418,74.44,0.9281,1.26,52.0258,20.5%,56.5%,33.46,46.32~95.62,40.2~87.68,,1.5,0.94,55.97,30.65,,,
8,600885.SH,宏发股份,1996,,20230418,32.66,0.9382,1.07,27.3008,20.5%,48.5%,16.79,26.52~57.7,19.54~54.2,,1.75,0.35,30.75,33.39,,,
9,600036.SH,招商银行,2002,长期,20230418,35.68,4.2657,3.22,6.52,21.0%,44.5%,15.51,4.92~15.0,5.9~13.94,,2.0,1.15,31.07,91.57,,,
10,002032.SZ,苏泊尔,2004,,20230418,53.99,5.8949,1.94,21.0665,22.5%,56.5%,28.57,15.64~36.58,18.85~37.51,,1.5,1.05,45.55,42.99,,,
11,300482.SZ,万孚生物,2015,,20230418,29.76,1.0038,1.18,11.0519,24.0%,17.5%,21.49,8.28~57.98,9.6~67.22,修正标准差,2.25,0.35,27.39,24.92,,,
12,000049.SZ,德赛电池,1995,,20230418,41.92,1.7946,1.41,13.8196,30.5%,53.5%,25.27,10.25~26.57,10.82~25.06,,2.0,0.59,23.65,70.97,,,
13,300357.SZ,我武生物,2014,,20230418,47.57,0.4225,0.5,63.7633,32.0%,50.0%,24.02,54.2~131.9,43.24~120.52,,1.5,0.24,31.29,5.72,,,
14,600298.SH,安琪酵母,2000,长期,20230418,40.97,1.1695,1.03,26.946,34.5%,59.5%,21.99,20.91~46.15,19.05~43.47,,2.0,0.42,34.31,46.8,,,
