,证券代码,证券简称,上市年份,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
0,002507.SZ,涪陵榨菜,2010,长期,20230322,24.74,1.4147,1.17,24.4328,5.5%,44.5%,21.59,23.98~55.72,22.16~52.24,,1.75,0.29,39.39,16.1,20230203.0,26.743,25.28
1,600887.SH,伊利股份,1996,长期,20230322,28.88,3.3247,2.77,20.9483,7.0%,57.5%,24.44,19.2~37.3,19.78~35.0,,1.75,0.8,69.39,51.14,,,
2,000895.SZ,双汇发展,1998,长期,20230322,25.19,7.5347,5.68,15.9297,13.0%,58.0%,30.9,14.46~28.44,13.66~26.38,,1.5,1.43,92.66,34.59,20230208.0,25.173,15.86
3,600036.SH,招商银行,2002,长期,20230322,34.54,4.4065,3.33,6.3117,13.5%,43.5%,15.51,5.1~14.94,6.06~13.9,,2.0,1.15,31.07,91.57,,,
4,603568.SH,伟明环保,2015,,20230322,18.72,0.5342,1.39,20.0027,15.5%,60.5%,25.51,16.81~33.01,17.59~32.59,,2.0,0.26,27.33,43.46,,,
5,000848.SZ,承德露露,1997,,20230322,8.72,,4.01,15.9157,19.5%,64.5%,22.17,12.84~24.56,13.65~24.17,,1.75,0.35,81.07,31.26,,,
6,002032.SZ,苏泊尔,2004,,20230322,53.73,5.9097,1.95,21.0136,21.0%,56.0%,28.57,15.9~36.74,19.03~37.53,,1.5,1.05,45.55,42.99,,,
7,603288.SH,海天味业,2014,长期,20230322,75.1,0.92,1.25,52.4871,21.5%,56.5%,33.46,46.85~95.57,39.95~87.75,,1.5,0.94,55.97,30.65,,,
8,300482.SZ,万孚生物,2015,,20230322,31.36,0.9526,1.12,11.1783,21.5%,17.0%,21.49,8.65~60.57,9.76~68.3,修正标准差,2.25,0.35,27.39,24.92,,,
9,000333.SZ,美的集团,2013,长期,20230322,51.7,3.228,2.86,12.2254,25.5%,48.5%,25.21,9.29~25.77,10.18~23.98,,1.75,1.48,43.94,65.34,,,
10,600885.SH,宏发股份,1996,,20230322,33.48,0.9153,1.05,28.849,26.5%,51.5%,16.79,26.93~57.53,19.66~54.2,,1.75,0.35,30.75,33.39,,,
11,600519.SH,贵州茅台,2001,长期,20230322,1773.35,2.4578,0.94,37.3811,28.0%,66.5%,32.37,34.57~56.89,25.18~54.3,,1.5,16.71,51.72,24.38,,,
12,000049.SZ,德赛电池,1995,,20230322,42.14,1.7852,1.4,13.8922,30.5%,53.5%,25.27,10.36~26.54,10.93~25.19,,2.0,0.59,23.65,70.97,,,
13,002884.SZ,凌霄泵业,2017,,20230322,15.88,6.2972,7.05,12.0728,32.5%,51.0%,20.71,10.39~23.69,8.1~23.16,,2.0,1.12,74.54,8.45,,,
14,002508.SZ,老板电器,2010,,20230322,28.21,1.7632,2.16,21.8943,39.0%,88.0%,24.01,16.86~24.98,14.69~24.47,,1.5,0.61,39.35,34.91,,,
15,300357.SZ,我武生物,2014,,20230322,50.27,0.3998,0.48,67.3824,39.5%,53.0%,24.02,55.0~131.82,42.89~120.59,,1.5,0.24,31.29,5.72,,,
