,证券代码,证券简称,上市年份,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
0,002507.SZ,涪陵榨菜,2010,长期,20230303,25.91,1.3508,1.12,25.5883,8.5%,47.0%,21.59,24.63~55.55,22.4~52.28,,1.75,0.29,39.39,16.1,20230203.0,26.743,25.28
1,600887.SH,伊利股份,1996,长期,20230303,31.06,3.0914,2.58,22.5295,14.0%,62.0%,24.44,19.37~37.25,19.94~35.02,,1.75,0.8,69.39,51.14,,,
2,300628.SZ,亿联网络,2017,,20230303,69.16,1.1576,1.49,28.5494,15.5%,48.0%,28.96,26.94~61.08,22.52~56.96,,1.75,1.03,43.03,8.28,,,
3,000895.SZ,双汇发展,1998,长期,20230303,26.58,7.1407,5.38,16.8087,18.0%,61.0%,30.9,14.66~28.48,13.74~26.42,,1.5,1.43,92.66,34.59,20230208.0,25.173,15.86
4,603568.SH,伟明环保,2015,,20230303,19.32,0.5176,1.35,20.6438,18.5%,62.5%,25.51,16.99~33.15,17.71~32.69,,2.0,0.26,27.33,43.46,,,
5,600036.SH,招商银行,2002,长期,20230303,38.25,3.9791,3.01,6.9897,23.0%,48.0%,15.51,5.23~14.91,6.17~13.89,,2.0,1.15,31.07,91.57,,,
6,300482.SZ,万孚生物,2015,,20230303,32.72,0.913,1.07,11.6631,24.5%,17.0%,21.49,8.89~62.21,9.87~69.09,修正标准差,2.25,0.35,27.39,24.92,,,
7,000848.SZ,承德露露,1997,,20230303,9.23,,3.79,16.8466,26.5%,68.5%,22.17,12.8~24.56,13.7~24.24,,1.75,0.35,81.07,31.26,,,
8,600885.SH,宏发股份,1996,,20230303,34.52,0.8877,1.01,29.7451,29.5%,52.5%,16.79,27.22~57.44,19.77~54.21,,1.75,0.35,30.75,33.39,,,
9,002032.SZ,苏泊尔,2004,,20230303,57.95,5.4794,1.81,22.664,29.5%,60.5%,28.57,16.05~36.85,19.13~37.53,,1.5,1.05,45.55,42.99,,,
10,603288.SH,海天味业,2014,长期,20230303,80.88,0.8542,1.16,56.5267,30.5%,61.5%,33.46,46.89~95.57,39.81~87.77,,1.5,0.94,55.97,30.65,,,
11,002841.SZ,视源股份,2017,,20230303,68.68,1.2456,1.11,23.2738,30.5%,42.5%,32.54,16.42~51.34,19.36~57.64,,2.0,0.76,34.38,47.02,20230209.0,64.33,21.91
12,600519.SH,贵州茅台,2001,长期,20230303,1818.04,2.3974,0.92,38.3231,31.5%,68.5%,32.37,34.35~56.97,25.19~54.29,,1.5,16.71,51.72,24.38,,,
13,000333.SZ,美的集团,2013,长期,20230303,55.2,3.0233,2.68,13.053,32.0%,52.0%,25.21,9.41~25.75,10.28~24.12,,1.75,1.48,43.94,65.34,,,
14,000049.SZ,德赛电池,1995,,20230303,43.57,1.7266,1.35,14.3636,33.0%,55.0%,25.27,10.5~26.54,10.99~25.33,,2.0,0.59,23.65,70.97,,,
15,002884.SZ,凌霄泵业,2017,,20230303,16.63,6.0132,6.73,12.643,38.0%,53.5%,20.71,10.43~23.69,8.14~23.3,,2.0,1.12,74.54,8.45,,,
16,300357.SZ,我武生物,2014,,20230303,51.61,0.3895,0.47,69.1786,44.0%,54.5%,24.02,55.18~131.82,42.38~120.66,,1.5,0.24,31.29,5.72,,,
17,600298.SH,安琪酵母,2000,长期,20230303,40.04,1.1966,1.05,29.2957,44.5%,65.0%,21.99,21.25~46.11,19.18~43.54,,2.0,0.42,34.31,46.8,,,
18,600612.SH,老凤祥,1992,,20230303,49.06,2.9556,2.45,15.0935,52.0%,71.5%,21.21,9.42~20.34,10.43~21.69,,2.0,1.2,45.31,51.38,,,
19,300529.SZ,健帆生物,2016,,20230303,31.97,2.7766,2.13,21.3908,52.0%,23.0%,30.4,10.62~95.76,20.61~88.33,,1.75,0.68,60.1,17.78,20230202.0,34.897,23.21
20,600085.SH,同仁堂,1997,长期,20230303,48.6,0.5967,0.76,50.871,56.0%,94.0%,11.77,34.73~54.17,30.62~53.3,,1.75,0.37,48.2,30.18,,,
21,002508.SZ,老板电器,2010,,20230303,31.59,1.5746,1.93,24.5176,56.5%,98.5%,24.01,16.69~24.97,14.66~24.56,,1.5,0.61,39.35,34.91,,,
22,600600.SH,青岛啤酒,1993,长期,20230303,113.2,0.9719,0.58,40.5156,56.5%,63.0%,10.23,27.21~65.97,24.54~62.16,,2.0,0.66,44.87,46.37,,,
23,603899.SH,晨光股份,2015,长期,20230303,53.0,1.1331,0.77,36.7735,57.0%,54.5%,26.23,22.23~70.29,24.54~63.88,,1.75,0.41,35.76,39.98,,,
24,300015.SZ,爱尔眼科,2009,长期,20230303,30.79,0.2936,0.58,82.545,64.0%,46.5%,20.49,55.17~185.77,46.04~166.64,,1.75,0.18,41.94,39.14,,,
25,002415.SZ,海康威视,2010,,20230303,39.37,2.3029,1.78,28.7404,70.5%,71.5%,30.75,16.21~40.51,17.47~38.93,,1.5,0.7,51.53,39.23,,,
26,600436.SH,片仔癀,2003,长期,20230303,309.0,0.3916,0.26,75.505,70.5%,62.0%,24.1,53.1~126.38,37.84~114.86,,1.5,0.79,31.76,20.16,,,
27,002304.SZ,洋河股份,2009,,20230303,172.33,1.7402,1.71,27.7249,71.0%,66.0%,21.82,18.99~43.21,14.06~40.3,,1.75,2.95,59.95,32.33,,,
28,000538.SZ,云南白药,1993,长期,20230303,57.32,1.9931,4.19,38.7497,72.5%,99.0%,14.5,22.86~39.7,21.93~38.27,,1.75,2.4,73.32,29.85,,,
29,603866.SH,桃李面包,2015,,20230303,17.73,2.4172,4.96,36.4767,72.5%,67.5%,18.9,19.29~53.63,23.3~53.76,,2.0,0.88,78.95,16.76,,,
30,601318.SH,中国平安,2007,长期,20230303,50.28,4.7364,2.65,9.5303,77.5%,68.0%,18.87,5.16~13.2,5.55~14.79,,2.25,1.33,19.94,89.53,,,
31,002916.SZ,深南电路,2017,,20230303,81.6,1.1642,1.05,25.5834,78.5%,40.0%,21.79,12.41~62.31,16.84~64.58,,2.25,0.86,31.74,53.79,,,
32,603360.SH,百傲化学,2017,,20230303,18.54,,3.07,11.2601,78.5%,42.5%,23.28,9.31~20.99,4.74~34.96,,2.0,0.57,64.62,18.77,,,
33,002867.SZ,周大生,2017,,20230303,16.45,3.011,3.04,15.6843,79.0%,60.5%,21.77,8.22~25.18,9.31~26.37,,2.0,0.5,38.02,21.25,,,
34,603043.SH,广州酒家,2017,,20230303,28.13,1.4181,1.32,27.3844,80.0%,62.0%,21.02,14.15~45.35,16.39~42.17,,2.0,0.37,38.18,26.29,,,
35,603387.SH,基蛋生物,2017,,20230303,13.27,1.8301,2.94,10.8359,83.0%,27.0%,21.38,5.66~37.06,6.19~43.17,,2.0,0.39,30.7,18.17,20230217.0,13.253,10.88
36,603833.SH,欧派家居,2017,,20230303,137.75,1.2704,0.84,33.0019,84.5%,70.0%,22.46,18.79~47.07,17.0~46.94,,2.0,1.16,30.31,35.64,,,
37,603369.SH,今世缘,2014,,20230303,63.48,0.9237,0.65,33.0193,86.0%,71.5%,20.74,20.04~47.62,15.85~44.25,,1.75,0.41,35.75,30.0,,,
38,002236.SZ,大华股份,2008,,20230303,15.65,1.7033,1.21,17.7622,87.0%,73.0%,21.5,10.74~21.72,8.46~27.04,,2.25,0.19,18.56,47.45,,,
39,603707.SH,健友股份,2017,,20230303,16.86,0.6844,1.07,24.3071,89.0%,32.5%,21.5,12.36~74.3,13.32~72.34,,2.25,0.18,22.01,35.86,,,
40,603589.SH,口子窖,2015,,20230303,69.7,2.1408,1.85,23.5147,90.0%,71.5%,23.49,12.2~33.14,12.5~32.14,,2.0,1.29,51.89,28.32,,,
41,000858.SZ,五粮液,1998,长期,20230303,205.76,1.4692,1.05,30.6725,93.0%,54.5%,23.54,18.16~58.64,14.05~53.35,,1.75,2.16,50.18,24.79,,,
42,603605.SH,珀莱雅,2017,,20230303,184.78,0.33,0.31,74.0857,113.0%,78.5%,20.52,55.89~91.07,25.12~96.66,,2.0,0.58,30.36,35.45,,,
43,603868.SH,飞科电器,2016,,20230303,81.74,1.2234,1.47,40.4657,123.0%,92.5%,28.59,21.64~44.68,15.56~42.32,,1.75,1.2,71.06,27.71,,,
44,603338.SH,浙江鼎力,2015,长期,20230303,58.49,0.5813,0.58,28.725,123.0%,41.0%,19.68,10.84~72.82,15.71~66.21,,2.25,0.34,19.81,31.38,20230130.0,51.596,
45,600276.SH,恒瑞医药,2000,长期,20230303,43.4,0.3686,0.44,79.1809,125.0%,77.5%,21.4,31.97~103.13,38.89~99.07,,2.0,0.19,17.99,10.67,20210810.0,57.559,56.74
46,300726.SZ,宏达电子,2017,,20230303,46.23,1.2979,0.61,22.6945,129.5%,30.0%,20.73,8.31~76.13,12.17~72.93,,2.25,0.28,29.87,12.76,,,
47,603848.SH,好太太,2017,,20230303,17.15,1.4577,1.34,27.0624,133.0%,90.0%,20.09,14.05~25.27,9.85~36.65,,2.0,0.23,34.0,21.27,,,
48,601155.SH,新城控股,2015,,20230303,19.29,,6.64,4.3238,136.0%,45.5%,33.68,2.74~7.76,1.37~11.73,,2.25,1.28,28.97,85.18,,,
49,300638.SZ,广和通,2017,,20230303,22.62,0.5798,1.15,39.2569,140.5%,43.5%,20.09,15.36~85.74,17.32~92.34,,2.5,0.26,26.93,46.39,,,
50,600809.SH,山西汾酒,1994,长期,20230303,275.58,0.6532,0.31,44.5741,156.5%,42.5%,30.23,27.71~109.31,12.61~98.63,,1.75,0.85,37.42,47.02,,,
51,603444.SH,吉比特,2017,,20230303,376.0,7.9787,2.43,21.1982,158.5%,51.0%,29.83,8.59~43.47,7.82~39.1,,1.75,9.12,67.13,23.01,,,
52,002833.SZ,弘亚数控,2016,,20230303,17.84,2.082,2.8,15.9172,161.5%,44.5%,24.75,5.27~36.53,7.2~34.36,,2.0,0.5,27.21,23.72,,,
53,300450.SZ,先导智能,2015,,20230303,43.0,1.161,0.67,29.9825,162.0%,24.5%,21.81,9.21~138.17,15.03~105.24,修正标准差,2.25,0.29,31.15,57.7,,,
54,002271.SZ,东方雨虹,2008,,20230303,36.67,0.8148,0.74,29.0264,170.0%,63.0%,22.73,15.98~46.5,8.08~45.02,,2.25,0.27,20.63,51.15,,,
55,002901.SZ,大博医疗,2017,,20230303,35.23,1.4299,1.59,33.7474,188.0%,44.0%,30.19,9.56~78.5,15.08~72.4,,1.75,0.56,48.95,17.49,,,
56,300630.SZ,普利制药,2017,,20230303,27.05,0.7071,0.7,24.4938,194.0%,27.5%,23.04,11.76~75.08,6.43~104.03,,2.25,0.19,20.24,30.0,,,
57,603180.SH,金牌厨柜,2017,,20230303,43.53,2.4371,2.14,19.4967,201.5%,61.5%,21.88,8.25~27.17,5.3~37.14,修正标准差,2.25,0.93,32.75,48.19,,,
58,603638.SH,艾迪精密,2017,,20230303,19.24,0.6247,0.94,65.9957,244.5%,74.0%,21.72,28.02~91.4,14.52~86.72,,2.25,0.18,23.53,29.89,,,
59,600690.SH,海尔智家,1993,,20230303,25.98,1.7523,1.46,16.5848,263.0%,47.0%,19.31,5.68~37.56,3.81~33.15,,2.0,0.38,34.95,66.12,,,
60,000651.SZ,格力电器,1996,长期,20230303,36.97,10.6746,5.57,8.0936,282.5%,35.0%,23.67,1.6~24.14,3.11~21.63,,2.0,2.06,46.15,61.2,,,
61,300595.SZ,欧普康视,2017,,20230303,33.79,0.4114,0.47,49.004,326.5%,28.5%,26.56,20.42~179.12,7.98~158.52,,2.0,0.16,19.24,11.79,,,
62,300571.SZ,平治信息,2016,,20230303,37.58,0.2927,0.59,28.1581,742.0%,66.0%,32.07,13.9~34.26,1.9~55.66,,2.25,0.22,14.21,56.17,,,
63,600763.SH,通策医疗,1996,,20230303,143.09,,0.06,76.7378,774.5%,37.5%,20.27,18.58~214.44,5.74~187.56,,2.0,0.08,17.52,34.43,,,
64,600309.SH,万华化学,2001,长期,20230303,106.01,2.3583,1.62,20.4962,1881.5%,56.0%,35.67,1.98~38.9,0.7~34.1,,1.75,1.72,41.66,56.12,,,
65,000661.SZ,长春高新,1996,长期,20230303,193.31,0.4113,0.43,19.1991,12002.0%,23.0%,24.93,0.08~84.28,9.31~79.55,,1.75,0.84,12.95,28.62,,,
