,证券代码,证券简称,上市年份,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
0,600887.SH,伊利股份,1996,长期,20230412,28.16,3.4097,2.84,20.426,5.5%,56.0%,24.44,18.97~37.35,19.61~35.01,,1.75,0.8,69.39,51.14,,,
1,002507.SZ,涪陵榨菜,2010,长期,20230412,24.71,1.4164,1.17,24.4032,7.5%,44.5%,21.59,23.28~55.82,21.85~52.21,,1.75,0.29,39.39,16.1,20230203.0,26.743,25.28
2,000848.SZ,承德露露,1997,,20230412,8.2,,4.27,14.9666,13.0%,61.0%,22.17,12.88~24.54,13.58~24.1,,1.75,0.35,81.07,31.26,,,
3,600036.SH,招商银行,2002,长期,20230412,33.74,4.511,3.41,6.1655,13.5%,42.5%,15.51,4.96~15.0,5.93~13.93,,2.0,1.15,31.07,91.57,,,
4,000895.SZ,双汇发展,1998,长期,20230412,25.7,7.3852,5.56,15.8412,13.5%,57.5%,30.9,14.24~28.36,13.59~26.37,,1.5,1.43,92.66,34.59,20230208.0,25.173,15.86
5,603568.SH,伟明环保,2015,,20230412,18.28,0.547,1.42,19.5326,14.0%,59.5%,25.51,16.65~32.75,17.46~32.52,,2.0,0.26,27.33,43.46,,,
6,300628.SZ,亿联网络,2017,,20230412,67.53,1.1856,1.53,27.8765,15.5%,46.5%,28.96,25.91~61.21,22.37~56.99,,1.75,1.03,43.03,8.28,,,
7,600519.SH,贵州茅台,2001,长期,20230412,1694.1,2.5728,0.99,33.9325,16.0%,60.5%,32.37,34.69~56.85,25.27~54.29,,1.5,16.71,51.72,24.38,,,
8,002032.SZ,苏泊尔,2004,,20230412,51.59,6.1691,2.04,20.13,17.0%,53.5%,28.57,15.71~36.61,18.89~37.51,,1.5,1.05,45.55,42.99,,,
9,603288.SH,海天味业,2014,长期,20230412,74.28,0.9301,1.27,51.914,20.0%,56.5%,33.46,46.47~95.61,40.16~87.7,,1.5,0.94,55.97,30.65,,,
10,600885.SH,宏发股份,1996,,20230412,32.64,0.9388,1.07,27.2841,20.5%,48.5%,16.79,26.63~57.65,19.56~54.2,,1.75,0.35,30.75,33.39,,,
11,300482.SZ,万孚生物,2015,,20230412,30.91,0.9664,1.13,11.479,28.0%,18.0%,21.49,8.38~58.62,9.64~67.48,修正标准差,2.25,0.35,27.39,24.92,,,
12,000049.SZ,德赛电池,1995,,20230412,42.06,1.7886,1.4,13.8658,30.5%,53.5%,25.27,10.28~26.56,10.85~25.07,,2.0,0.59,23.65,70.97,,,
13,600298.SH,安琪酵母,2000,长期,20230412,40.53,1.1822,1.04,26.6566,32.5%,59.0%,21.99,21.0~46.14,19.08~43.46,,2.0,0.42,34.31,46.8,,,
