,证券代码,证券简称,跟踪时间,日期,收盘价,PE_TTM,距离买点,距离卖点,三年估值范围,五年估值范围,七年估值范围,数据修正
0,300628.SZ,亿联网络,,20230120,62.0,25.6551,-4.67%,45.67%,30.87~58.67,25.06~54.52,25.67~54.13,
1,002507.SZ,涪陵榨菜,长期,20230120,26.32,24.992,-3.67%,49.0%,27.56~53.16,24.94~50.26,25.76~48.26,
2,300529.SZ,健帆生物,,20230120,34.36,22.9899,-1.67%,25.33%,19.09~90.31,26.64~83.24,26.19~92.61,
3,600036.SH,招商银行,长期,20230120,41.05,7.5013,9.0%,57.0%,6.63~13.69,7.27~12.95,6.74~12.5,
4,000848.SZ,承德露露,,20230120,8.94,16.3173,12.33%,67.33%,13.59~23.73,14.54~23.64,15.41~25.07,
5,000895.SZ,双汇发展,长期,20230120,25.6,16.1889,14.33%,60.33%,14.97~28.51,13.87~26.47,13.58~25.18,
6,600887.SH,伊利股份,长期,20230120,32.33,23.4523,15.0%,67.33%,20.88~35.96,21.21~34.11,19.0~33.52,
7,002032.SZ,苏泊尔,,20230120,52.65,21.1629,16.33%,57.0%,16.4~37.2,19.37~37.55,18.94~35.7,
8,603568.SH,伟明环保,,20230120,19.55,20.8896,20.33%,58.33%,19.26~31.48,19.67~31.15,14.2~49.2,
9,300760.SZ,迈瑞医疗,长期,20230120,341.05,43.7986,22.33%,54.0%,38.54~83.68,34.22~78.62,34.22~78.62,
10,000333.SZ,美的集团,长期,20230120,57.08,13.4976,22.67%,56.67%,10.83~24.57,11.46~23.32,10.58~22.74,
11,002236.SZ,大华股份,,20230120,12.68,14.3914,23.67%,57.67%,12.52~20.32,11.16~25.0,11.14~31.28,
12,603589.SH,口子窖,,20230120,56.92,19.2031,25.67%,61.67%,14.47~30.53,15.0~29.84,16.34~32.04,
13,600612.SH,老凤祥,,20230120,49.3,14.8712,26.0%,72.33%,10.82~19.12,11.88~20.42,12.74~21.64,
14,300450.SZ,先导智能,,20230120,44.62,31.1121,30.67%,28.67%,32.72~116.26,18.67~102.63,23.78~102.0,
15,600600.SH,青岛啤酒,长期,20230120,105.16,37.6379,34.67%,64.0%,31.5~61.3,29.44~57.64,23.8~56.44,
16,600298.SH,安琪酵母,长期,20230120,43.0,31.4615,35.67%,74.67%,24.18~43.04,22.27~40.57,22.99~41.99,
17,002415.SZ,海康威视,,20230120,36.73,23.4369,37.67%,58.0%,16.35~40.57,17.44~39.56,17.23~39.83,
18,000049.SZ,德赛电池,,20230120,46.6,15.3625,38.0%,54.67%,12.71~24.67,12.87~23.73,8.77~39.49,
19,000651.SZ,格力电器,长期,20230120,35.05,7.6733,39.33%,38.0%,4.74~21.4,5.61~19.45,6.32~18.82,
20,600085.SH,同仁堂,长期,20230120,46.98,49.1753,44.67%,94.33%,35.2~52.62,32.25~51.47,34.28~51.58,
21,601318.SH,中国平安,长期,20230120,52.1,9.8753,45.33%,73.0%,6.5~11.88,6.88~13.76,6.94~14.98,
22,603899.SH,晨光股份,长期,20230120,57.26,39.7292,50.33%,64.33%,25.94~66.96,27.39~61.11,25.96~57.36,
23,600519.SH,贵州茅台,长期,20230120,1860.01,39.2078,53.33%,71.67%,33.86~57.14,25.15~54.31,20.55~51.81,
24,603288.SH,海天味业,长期,20230120,79.74,55.73,56.33%,62.33%,46.89~95.59,39.33~87.87,26.44~83.94,
25,002508.SZ,老板电器,,20230120,30.92,23.9976,59.33%,89.67%,16.62~24.76,14.35~25.09,14.35~30.41,
26,603369.SH,今世缘,,20230120,57.41,29.862,64.0%,70.0%,21.66~45.62,17.59~42.13,16.0~39.34,
27,601155.SH,新城控股,,20230120,21.62,4.8461,65.67%,48.33%,3.62~7.04,2.49~11.17,2.85~14.21,
28,000538.SZ,云南白药,长期,20230120,58.25,39.3784,68.67%,106.0%,23.76~37.92,23.18~36.72,22.86~36.24,
29,000661.SZ,长春高新,长期,20230120,208.6,20.7182,72.33%,27.0%,7.59~80.07,15.27~74.59,18.68~69.56,
30,300015.SZ,爱尔眼科,长期,20230120,33.76,90.5073,74.0%,56.33%,65.18~176.44,54.3~158.14,41.41~147.01,
31,002304.SZ,洋河股份,,20230120,183.11,29.4592,77.33%,75.67%,19.95~41.67,15.92~38.44,14.69~36.11,
32,000858.SZ,五粮液,长期,20230120,208.72,31.1137,84.0%,60.33%,20.93~55.77,16.9~50.6,14.13~47.31,
33,300357.SZ,我武生物,,20230120,55.47,74.3526,86.33%,61.0%,55.92~131.88,41.11~120.91,30.04~112.18,
34,002271.SZ,东方雨虹,,20230120,38.14,30.19,87.33%,76.67%,20.54~41.5,14.23~38.91,14.73~36.99,
35,300595.SZ,欧普康视,,20230120,37.65,54.6019,88.67%,38.0%,42.35~159.03,26.47~139.87,23.44~132.52,
36,600276.SH,恒瑞医药,长期,20230120,43.54,79.4363,89.0%,87.33%,40.84~94.3,46.28~91.24,39.27~87.27,
37,600436.SH,片仔癀,长期,20230120,317.77,77.54,99.0%,67.0%,51.5~126.7,37.25~114.77,32.31~105.89,
38,600690.SH,海尔智家,,20230120,26.39,16.8465,111.0%,56.33%,9.38~33.62,7.48~29.52,7.35~27.15,
39,600809.SH,山西汾酒,长期,20230120,296.4,47.9417,124.0%,51.0%,32.81~103.71,18.8~92.64,17.64~84.94,
40,603198.SH,迎驾贡酒,,20230120,69.03,34.0256,125.67%,92.33%,17.85~38.93,13.18~35.54,14.85~35.69,
41,600763.SH,通策医疗,,20230120,169.42,90.8584,240.67%,54.0%,42.27~190.09,27.61~164.87,18.96~149.42,
